代码,名称,最新价,IOPV实时估值,基金折价率,涨跌额,涨跌幅,成交量,成交额,开盘价,最高价,最低价,昨收,振幅,换手率,量比,委比,外盘,内盘,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比,现手,买一,卖一,最新份额,流通市值,总市值,数据日期,更新时间
510300,沪深300ETF,3.959,3.9451,-0.35,-0.007,-0.18,7370307.0,2910576351.0,3.959,3.964,3.932,3.966,0.81,0.77,1.03,3.78,2888150.0,4482157.0,-3483072.0,-0.12,41350256.0,1.42,-44833328.0,-1.54,-141476464.0,-4.86,144959539.0,4.98,221.0,3.958,3.959,95677689856.0,378787974140,3787.8797414,2025-05-30,2025-05-30 16:11:54+08:00
510310,沪深300ETF易方达,3.783,3.7712,-0.31,-0.006,-0.16,2033902.0,767759894.0,3.785,3.788,3.758,3.789,0.79,0.29,1.25,4.98,751539.0,1282363.0,11736407.0,1.53,122233872.0,15.92,-110497465.0,-14.39,-24041110.0,-3.13,12304694.0,1.6,1.0,3.782,3.783,69236744192.0,261922603278,2619.22603278,2025-05-30,2025-05-30 16:11:44+08:00
510330,沪深300ETF华夏,3.984,3.9697,-0.36,-0.006,-0.15,970640.0,385599260.0,3.989,3.989,3.956,3.99,0.83,0.2,1.07,-5.68,399605.0,571035.0,-4727389.0,-1.23,168037999.0,43.58,-172765388.0,-44.8,2797917.0,0.73,1929475.0,0.5,-30.0,3.984,3.985,48579549696.0,193540925989,1935.40925989,2025-05-30,2025-05-30 16:11:51+08:00
159919,沪深300ETF,3.987,3.991,0.1,-0.012,-0.3,1518653.0,604492596.103,3.993,3.996,3.965,3.999,0.78,0.36,1.19,42.69,739566.0,779087.0,18319847.0,3.03,77302736.0,12.79,-58982889.0,-9.76,-31351594.0,-5.19,13031738.0,2.16,-2190.0,3.987,3.988,42083316736.0,167786183826,1677.86183826,2025-05-30,2025-05-30 15:34:27+08:00
510050,上证50ETF,2.749,2.7419,-0.26,-0.005,-0.18,8849951.0,2427758102.0,2.753,2.758,2.73,2.754,1.02,1.48,1.69,-34.71,3750219.0,5099732.0,173575376.0,7.15,1239400080.0,51.05,-1065824704.0,-43.9,-198034846.0,-8.16,24459482.0,1.01,-100.0,2.749,2.75,59608566784.0,163863950089,1638.63950089,2025-05-30,2025-05-30 16:11:56+08:00
510500,中证500ETF,5.694,5.6853,-0.15,-0.033,-0.58,3345407.0,1903678351.0,5.71,5.711,5.671,5.727,0.7,1.72,1.64,71.05,1443939.0,1901468.0,65955472.0,3.46,301045696.0,15.81,-235090224.0,-12.35,-52301497.0,-2.75,-13653981.0,-0.72,30.0,5.693,5.696,19482968576.0,110936023072,1109.36023072,2025-05-30,2025-05-30 16:11:56+08:00
159915,创业板ETF,1.972,1.9692,-0.14,-0.017,-0.85,6612255.0,1303691547.765,1.98,1.98,1.963,1.989,0.85,1.59,0.85,12.65,2687360.0,3924894.0,-106250400.0,-8.15,49801696.0,3.82,-156052096.0,-11.97,14614782.0,1.12,91635607.0,7.03,-59552.0,1.972,1.973,41700454912.0,82233297086,822.33297086,2025-05-30,2025-05-30 15:34:45+08:00
588000,科创50ETF,1.03,1.026,-0.39,-0.01,-0.96,17170283.0,1770038077.0,1.037,1.037,1.028,1.04,0.87,2.23,0.94,-0.25,7169598.0,10000685.0,-342311792.0,-19.34,-345398720.0,-19.51,3086928.0,0.17,201029384.0,11.36,141282414.0,7.98,-7313.0,1.03,1.031,76970668032.0,79279788073,792.79788073,2025-05-30,2025-05-30 16:11:34+08:00
511990,华宝添益ETF,100.013,,,0.014,0.01,1289143.0,12892624967.0,100.007,100.014,100.006,99.999,0.01,16.39,1.63,-21.75,784803.0,504340.0,147474944.0,1.14,154415104.0,1.2,-6940160.0,-0.05,-39737620.0,-0.31,-107737502.0,-0.84,1553.0,100.012,100.013,786720608.0,78682288168,786.82288168,2025-05-30,2025-05-30 16:11:47+08:00
511880,银华日利ETF,100.579,,,0.023,0.02,1490916.0,14994410430.0,100.571,100.581,100.566,100.556,0.01,19.16,1.22,-19.21,876140.0,614777.0,71667696.0,0.48,-167871744.0,-1.12,239539440.0,1.6,-53603571.0,-0.36,-18064098.0,-0.12,-513.0,100.579,100.58,778185408.0,78269110151,782.69110151,2025-05-30,2025-05-30 16:11:36+08:00
