,date,open,high,low,close,volume,amount,outstanding_share,turnover
0,2006-06-19,3.06,8.96,2.78,5.73,45145387.0,827559374.0,48000000.0,0.9405288958333333
1,2006-06-20,5.15,5.15,5.15,5.15,285600.0,8216712.0,48000000.0,0.00595
2,2006-06-21,4.64,4.64,4.64,4.64,62300.0,1612947.0,48000000.0,0.0012979166666666666
3,2006-06-22,4.17,4.17,4.17,4.17,55200.0,1286160.0,48000000.0,0.00115
4,2006-06-23,3.76,3.76,3.76,3.76,577400.0,12108078.0,48000000.0,0.012029166666666667
5,2006-06-26,3.38,3.38,3.38,3.38,1382400.0,26085888.0,48000000.0,0.0288
6,2006-06-27,3.04,3.31,3.04,3.11,29126721.0,509143037.0,48000000.0,0.6068066875
7,2006-06-28,3.13,3.26,3.12,3.22,16621050.0,296560451.0,48000000.0,0.346271875
8,2006-06-29,3.22,3.25,3.13,3.22,11025404.0,196685391.0,48000000.0,0.22969591666666667
9,2006-06-30,3.23,3.23,3.12,3.14,7588400.0,133742928.0,48000000.0,0.15809166666666666
10,2006-07-03,3.13,3.2,3.11,3.16,5657789.0,99640485.0,48000000.0,0.11787060416666667
11,2006-07-04,3.19,3.22,3.1,3.22,8798215.0,154535998.0,48000000.0,0.18329614583333334
12,2006-07-05,3.19,3.19,3.12,3.13,3810479.0,67021356.0,48000000.0,0.07938497916666666
13,2006-07-06,3.12,3.43,3.12,3.34,10616567.0,194126303.0,48000000.0,0.22117847916666666
14,2006-07-07,3.31,3.39,3.23,3.25,7193631.0,132555897.0,48000000.0,0.1498673125
15,2006-07-10,3.24,3.3,3.17,3.26,4987972.0,89912667.0,48000000.0,0.10391608333333334
16,2006-07-11,3.23,3.39,3.18,3.29,7173289.0,132587040.0,48000000.0,0.14944352083333334
17,2006-07-12,3.27,3.36,3.23,3.28,5514368.0,101966458.0,48000000.0,0.11488266666666666
18,2006-07-13,3.19,3.19,2.95,2.95,9502515.0,160478214.0,48000000.0,0.1979690625
19,2006-07-14,2.87,2.97,2.87,2.89,4549217.0,73888784.0,48000000.0,0.09477535416666667
20,2006-07-17,2.87,2.92,2.83,2.9,3427906.0,54799453.0,48000000.0,0.07141470833333333
21,2006-07-18,2.9,2.95,2.87,2.92,2302679.0,37467584.0,48000000.0,0.047972479166666665
22,2006-07-19,2.95,2.95,2.8,2.81,3002380.0,47741941.0,48000000.0,0.06254958333333334
23,2006-07-20,2.81,2.86,2.8,2.83,1669172.0,26365916.0,48000000.0,0.03477441666666667
24,2006-07-21,2.82,2.85,2.81,2.83,1262253.0,19949753.0,48000000.0,0.0262969375
25,2006-07-24,2.82,2.82,2.69,2.76,1956147.0,29976046.0,48000000.0,0.0407530625
26,2006-07-25,2.76,2.84,2.75,2.81,1570512.0,24559937.0,48000000.0,0.032719
27,2006-07-26,2.81,2.82,2.75,2.77,1624974.0,25199204.0,48000000.0,0.033853625
28,2006-07-27,2.76,2.81,2.73,2.75,1389465.0,21345169.0,48000000.0,0.0289471875
29,2006-07-28,2.75,2.77,2.67,2.69,2256388.0,34011332.0,48000000.0,0.04700808333333333
30,2006-07-31,2.68,2.68,2.45,2.45,3176378.0,44653840.0,48000000.0,0.06617454166666667
